"""Time""","""NEXO / Market Cap Estimated (USD)"""
"""2019-09-23""",54209609.59256429
"""2019-09-24""",47725335.84057802
"""2019-09-25""",51306720.975296974
"""2019-09-26""",47758113.96271584
"""2019-09-27""",47381363.15257343
"""2019-09-28""",44535409.74123808
"""2019-09-29""",43729606.2497075
"""2019-09-30""",46320848.63721956
"""2019-10-01""",47258574.22259875
"""2019-10-02""",48073718.189574406
"""2019-10-03""",48410221.74065881
"""2019-10-04""",49797577.47858892
"""2019-10-05""",52294522.21262468
"""2019-10-06""",49299417.33712544
"""2019-10-07""",52814835.09049017
"""2019-10-08""",52405543.641365945
"""2019-10-09""",53502314.573142156
"""2019-10-10""",49850328.54410666
"""2019-10-11""",47871074.80754583
"""2019-10-12""",50836563.71340145
"""2019-10-13""",51283495.20681655
"""2019-10-14""",52114633.26366651
"""2019-10-15""",53270314.3984113
"""2019-10-16""",53639033.65400121
"""2019-10-17""",52979413.10236973
"""2019-10-18""",52726013.68870272
"""2019-10-19""",54001586.05255903
"""2019-10-20""",55444668.81135314
"""2019-10-21""",56372657.02458819
"""2019-10-22""",54797875.46783627
"""2019-10-23""",51162923.88379799
"""2019-10-24""",51466299.427858815
"""2019-10-25""",57933455.663389675
"""2019-10-26""",58045971.13556096
"""2019-10-27""",54563891.96315587
"""2019-10-28""",52925785.836799785
"""2019-10-29""",54127971.50216956
"""2019-10-30""",52409921.32126469
"""2019-10-31""",51519950.08841601
"""2019-11-01""",52530192.75816449
"""2019-11-02""",52358302.87004998
"""2019-11-03""",55959822.96705698
"""2019-11-04""",57839106.38873675
"""2019-11-05""",58325634.89568079
"""2019-11-06""",57754250.55977193
"""2019-11-07""",57312465.03614826
"""2019-11-08""",57157711.83664336
"""2019-11-09""",58331683.32487711
"""2019-11-10""",59002699.219330564
"""2019-11-11""",58586322.43014259
"""2019-11-12""",59016372.58359025
"""2019-11-13""",60387611.21941113
"""2019-11-14""",61342838.786482
"""2019-11-15""",60279595.76636376
"""2019-11-16""",61039724.7005669
"""2019-11-17""",60843168.05245207
"""2019-11-18""",60797877.22503519
"""2019-11-19""",59840692.138264544
"""2019-11-20""",59820663.48517474
"""2019-11-21""",51653550.391645655
"""2019-11-22""",50951814.456886604
"""2019-11-23""",52502329.454542674
"""2019-11-24""",49719928.693005465
"""2019-11-25""",49530888.74934326
"""2019-11-26""",51866015.26593231
"""2019-11-27""",53334673.003516816
"""2019-11-28""",52130120.29185378
"""2019-11-29""",53709346.15884978
"""2019-11-30""",55156888.799564265
