"""Time""","""ADA / Market Cap (USD)"""
"""2018-07-29""",5078265267.45167
"""2018-07-30""",4772482393.444464
"""2018-07-31""",4410817480.566352
"""2018-08-01""",4343420236.168794
"""2018-08-02""",4062668199.9739404
"""2018-08-03""",4033244514.541122
"""2018-08-04""",3928757864.067603
"""2018-08-05""",4060639635.799685
"""2018-08-06""",4026033860.469949
"""2018-08-07""",3852529964.81741
"""2018-08-08""",3498331722.3629227
"""2018-08-09""",3826028930.7468853
"""2018-08-10""",3558464971.0884266
"""2018-08-11""",3461001129.192003
"""2018-08-12""",3474978554.972186
"""2018-08-13""",3165689802.099116
"""2018-08-14""",2890471469.2328205
"""2018-08-15""",2924458724.0229607
"""2018-08-16""",2928005963.6405478
"""2018-08-17""",3376674375.526245
"""2018-08-18""",3075260170.239915
"""2018-08-19""",3162192999.3053465
"""2018-08-20""",2877170447.45349
"""2018-08-21""",2939662783.16872
"""2018-08-22""",2791097717.310319
"""2018-08-23""",2862766615.208246
"""2018-08-24""",2922902359.7872267
"""2018-08-25""",2938859774.688158
"""2018-08-26""",2882310997.303109
"""2018-08-27""",3122678472.118381
"""2018-08-28""",3303169008.1918488
"""2018-08-29""",3290900422.3226204
"""2018-08-30""",3121853979.7079287
"""2018-08-31""",3176324162.0075774
"""2018-09-01""",3327362647.9321017
"""2018-09-02""",3252767550.357474
"""2018-09-03""",3221214994.6184673
"""2018-09-04""",3276868770.7024083
"""2018-09-05""",2726233210.222856
"""2018-09-06""",2733071565.696187
"""2018-09-07""",2578575779.5360155
"""2018-09-08""",2407819476.580081
"""2018-09-09""",2364573318.310971
"""2018-09-10""",2273699857.3472447
"""2018-09-11""",2171657916.508326
"""2018-09-12""",2051540851.0005417
"""2018-09-13""",2171638055.8289323
"""2018-09-14""",2121331800.4264011
"""2018-09-15""",2155696827.9542313
"""2018-09-16""",2169559664.3422675
"""2018-09-17""",1973037514.5444937
"""2018-09-18""",2145024018.004188
"""2018-09-19""",2235985261.236521
"""2018-09-20""",2520652683.913098
"""2018-09-21""",2725732879.432458
"""2018-09-22""",2582180849.615282
"""2018-09-23""",2801422886.6425223
"""2018-09-24""",2562050104.986276
"""2018-09-25""",2517787319.3749504
"""2018-09-26""",2465850340.340472
"""2018-09-27""",2674768307.4385753
"""2018-09-28""",2606436272.162013
"""2018-09-29""",2625828929.395602
"""2018-09-30""",2641593477.585255
"""2018-10-01""",2608031584.117009
"""2018-10-02""",2554465037.3155856
